timestamp,preclose,open,high,low,last,tradecount,ttvol,ttval,ap1,bp1,ap2,bp2,ap3,bp3,ap4,bp4,ap5,bp5,ap6,bp6,ap7,bp7,ap8,bp8,ap9,bp9,ap10,bp10,av1,bv1,av2,bv2,av3,bv3,av4,bv4,av5,bv5,av6,bv6,av7,bv7,av8,bv8,av9,bv9,av10,bv10
93000000.0,26.48,26.0,26.3,26.0,26.2,348.0,545300.0,14179850.0,26.2,26.01,26.3,26.0,26.36,25.98,26.37,25.97,26.38,25.95,26.4,25.9,26.44,25.88,26.45,25.87,26.47,25.85,26.48,25.83,2100.0,1000.0,59600.0,155900.0,400.0,2000.0,100.0,400.0,2000.0,8100.0,900.0,400.0,900.0,800.0,300.0,1000.0,11140.0,200.0,4500.0,5800.0
93003000.0,26.48,26.0,26.3,26.0,26.06,504.0,704200.0,18333763.0,26.26,26.13,26.27,26.06,26.28,26.05,26.29,26.03,26.3,26.02,26.35,26.01,26.36,26.0,26.37,25.99,26.38,25.98,26.4,25.97,10500.0,200.0,7900.0,2100.0,1600.0,18800.0,18400.0,8300.0,500.0,11700.0,31400.0,49700.0,400.0,145300.0,100.0,2900.0,2000.0,12000.0,900.0,1000.0
93006000.0,26.48,26.0,26.3,26.0,26.13,648.0,837200.0,21798591.0,26.19,26.14,26.25,26.13,26.26,26.1,26.27,26.05,26.28,26.03,26.29,26.02,26.3,26.01,26.35,26.0,26.36,25.99,26.37,25.98,1000.0,2500.0,36400.0,2500.0,2700.0,1100.0,8200.0,200.0,1600.0,900.0,18400.0,1200.0,2300.0,9400.0,31400.0,163200.0,400.0,2900.0,100.0,12200.0
93009000.0,26.48,26.0,26.3,26.0,26.2,691.0,866500.0,22566427.0,26.24,26.2,26.25,26.16,26.26,26.14,26.27,26.13,26.28,26.12,26.29,26.1,26.3,26.07,26.35,26.06,26.36,26.05,26.37,26.03,1000.0,1100.0,5000.0,300.0,4000.0,2300.0,8200.0,2500.0,5000.0,200.0,19600.0,2100.0,15900.0,10900.0,31400.0,1900.0,400.0,200.0,100.0,1400.0
93012000.0,26.48,26.0,26.3,26.0,26.2,741.0,884500.0,23036979.0,26.23,26.2,26.24,26.03,26.25,26.02,26.26,26.01,26.27,26.0,26.28,25.99,26.29,25.98,26.3,25.97,26.35,25.96,26.36,25.95,700.0,2700.0,300.0,1500.0,2900.0,4600.0,4900.0,22100.0,8200.0,175300.0,5000.0,2900.0,23300.0,12300.0,16700.0,1000.0,51400.0,600.0,400.0,10500.0
93015000.0,26.48,26.0,26.3,26.0,26.17,791.0,900100.0,23445734.0,26.2,26.17,26.26,26.13,26.27,26.1,26.28,26.09,26.29,26.06,26.3,26.04,26.35,26.03,26.36,26.02,26.37,26.01,26.38,26.0,100.0,300.0,4900.0,500.0,8200.0,1700.0,15000.0,200.0,23300.0,1000.0,16700.0,5000.0,51400.0,1500.0,400.0,4600.0,100.0,20700.0,2000.0,179900.0
93018000.0,26.48,26.0,26.3,26.0,26.23,840.0,928200.0,24179364.0,26.24,26.23,26.26,26.19,26.27,26.14,26.28,26.04,26.29,26.01,26.3,26.0,26.35,25.99,26.36,25.98,26.37,25.97,26.38,25.96,900.0,4800.0,4500.0,800.0,8200.0,1100.0,15000.0,1900.0,23300.0,17300.0,16700.0,177700.0,51400.0,2900.0,400.0,12300.0,100.0,1000.0,2000.0,600.0
93021000.0,26.48,26.0,26.35,26.0,26.3,919.0,1009300.0,26310760.0,26.35,26.3,26.36,26.23,26.37,26.2,26.38,26.19,26.4,26.18,26.44,26.14,26.45,26.13,26.47,26.08,26.48,26.04,26.49,26.03,50000.0,38300.0,400.0,1900.0,100.0,1800.0,2000.0,800.0,900.0,200.0,900.0,1100.0,39900.0,400.0,11140.0,100.0,5100.0,2800.0,10000.0,5000.0
93024000.0,26.48,26.0,26.35,26.0,26.3,950.0,1043600.0,27212876.0,26.34,26.3,26.35,26.24,26.36,26.23,26.37,26.2,26.38,26.19,26.4,26.18,26.44,26.17,26.45,26.15,26.47,26.14,26.48,26.13,4200.0,107400.0,50300.0,5400.0,400.0,1900.0,100.0,2300.0,2400.0,800.0,900.0,400.0,900.0,500.0,39900.0,2300.0,11140.0,1100.0,5100.0,400.0
93027000.0,26.48,26.0,26.35,26.0,26.31,975.0,1066700.0,27821225.0,26.35,26.31,26.36,26.3,26.37,26.24,26.38,26.23,26.4,26.2,26.44,26.19,26.45,26.18,26.47,26.17,26.48,26.15,26.49,26.14,38200.0,4400.0,400.0,108300.0,100.0,4900.0,2400.0,1900.0,900.0,2300.0,900.0,1300.0,39900.0,400.0,11140.0,800.0,5100.0,2300.0,10000.0,1100.0
